[2026-06-24 18:36:27] Setting loaded & applied: key='sponsor_logos', value=''
[2026-06-24 18:36:27] Setting loaded & applied: key='quiz_start_notif', value='1'
[2026-06-24 18:36:27] Setting loaded & applied: key='question_change_notif', value='1'
[2026-06-24 18:36:27] Setting loaded & applied: key='time_warn_notif', value='1'
[2026-06-24 18:36:27] Setting loaded & applied: key='result_ready_notif', value='1'
[2026-06-24 18:36:27] Setting loaded & applied: key='instant_result', value='0'
[2026-06-24 18:36:27] Setting loaded & applied: key='show_correct_ans', value='1'
[2026-06-24 18:36:27] Setting loaded & applied: key='show_wrong_ans', value='1'
[2026-06-24 18:36:27] Setting loaded & applied: key='show_total_score', value='1'
[2026-06-24 18:36:27] Setting loaded & applied: key='show_rank', value='1'
[2026-06-24 18:36:27] Setting loaded & applied: key='download_pdf', value='1'
[2026-06-24 18:36:27] Setting loaded & applied: key='auto_gen_cert', value='0'
[2026-06-24 18:36:27] Setting loaded & applied: key='winner_cert', value='1'
[2026-06-24 18:36:27] Setting loaded & applied: key='part_cert', value='0'
[2026-06-24 18:36:27] Setting loaded & applied: key='custom_cert_temp', value=''
[2026-06-24 18:36:27] Setting loaded & applied: key='cert_dl_btn', value='0'
[2026-06-24 18:36:27] Setting loaded & applied: key='trophy_anim', value='1'
[2026-06-24 18:36:27] Setting loaded & applied: key='confetti_effect', value='1'
[2026-06-24 18:36:27] Setting loaded & applied: key='fireworks_anim', value='0'
[2026-06-24 18:36:27] Setting loaded & applied: key='winner_music', value='1'
[2026-06-24 18:36:27] Setting loaded & applied: key='winner_photos', value='0'
[2026-06-24 18:36:27] Setting loaded & applied: key='team_creation', value='0'
